web-scraper-order,web-scraper-start-url,Product_Name,Product_Prices,Product_Sold
"1714669991-1","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","For Dunk Low Jarritos Unisex Casual Sneakers Fashion Street Sports Board Shoes","IDR2,241,935.48","6 sold"
"1714669991-2","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Nike SB Dunk Low (Concepts Blue Lobster)","IDR4,887,096.77",""
"1714669991-3","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Nike dunk 1 OG Low SP x Travis Scott Black Phantom (DM7866-001)","IDR4,806,451.61",""
"1714669991-4","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Nike dunk 1 Low x Travis Scott Mocha 2019 (CQ4277-001) Size4-12","IDR5,161,290.32",""
"1714669991-5","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","NEW YZY Boost 350 V2 SPORTS SHOES TRAINERS FITNESS GYM SPORTS RUNNING SHOCK","IDR546,871.00",""
"1714669991-6","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Boost 350 V2 SPORTS SPORTS  SHOCK SHOES TRAINERS FITNESS GYM RUNNING","IDR459,621.50",""
"1714669991-7","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","adidas AS 520 Originals Mens Shoes Trainers Uk Size 7 - 12 GW8803 Black Gold","IDR1,168,498.50","76 sold"
"1714669991-8","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Adidas IG0792 Korn Originals Campus '00s Black White Gum Men's Shoes","IDR3,709,516.13",""
"1714669991-9","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","adidas ZX 750 Mens Shoes Trainers Uk Size 7 to 12 GW5529 Originals  Grey Silver","IDR1,108,048.50","196 sold"
"1714669991-10","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","adidas Samba Super Mens Shoes Trainers Uk Size 7 - 12  019332 Navy Blue","IDR1,168,297.00","998 sold"
"1714669991-11","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","adidas Beckenbauer Originals Mens Shoes Trainers Uk Sizes 7 - 1 2   G96460 Brown","IDR1,066,741.00","160 sold"
"1714669991-12","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","adidas SL 72 Vintage Originals Mens Shoes Trainers Uk Size 7 - 12   909495","IDR1,269,248.50","83 sold"
"1714669991-13","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Adidas ZX 750 Originals Mens Shoes Trainers Uk Size 7 to 12   G96718","IDR1,067,748.50","99 sold"
"1714669991-14","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Supreme x Nike SB Dunk Low Gray Red FC1688-121","IDR4,870,967.74",""
